regime,value,detection_period,drop_threshold,reversal_threshold,tp_pct,sl_pct
4,1027.2299549367922,6,0.13390000000000002,0.09017,0.0852,0.036019999999999996
4,1027.2299549367922,6,0.1356,0.09038,0.0881,0.037110000000000004
4,1027.2299549367922,6,0.135,0.0903,0.08549999999999999,0.03615
4,1027.2299549367922,6,0.13290000000000002,0.08997000000000001,0.0865,0.03645
4,1027.1106952428406,6,0.1343,0.08968999999999999,0.0869,0.03799
4,1027.1106952428406,6,0.13240000000000002,0.09002000000000002,0.0858,0.03848
4,1027.1106952428406,6,0.13540000000000002,0.09052,0.0883,0.03833
4,1027.1106952428406,6,0.1343,0.09049,0.0873,0.038130000000000004
4,1027.1106952428406,6,0.1331,0.08963,0.0836,0.03826
5,1012.7467395770037,1,0.09770000000000001,0.059910000000000005,0.0876,0.056260000000000004
5,1012.6586563986834,1,0.09430000000000001,0.054290000000000005,0.09,0.0585
5,1012.6586563986834,1,0.09430000000000001,0.05369,0.0895,0.058750000000000004
5,1012.6586563986834,1,0.0942,0.05456,0.0892,0.058620000000000005
5,1012.6586563986834,1,0.0965,0.05445,0.0895,0.058550000000000005
5,1012.6586563986834,1,0.0955,0.055150000000000005,0.0887,0.05867000000000001
5,1012.6586563986834,1,0.0978,0.05444,0.0897,0.05887
5,1012.6586563986834,1,0.0948,0.05344,0.0905,0.058750000000000004
5,1012.6586563986834,1,0.0953,0.05649,0.0909,0.058890000000000005
5,1012.6586563986834,1,0.0958,0.05284,0.0909,0.05949
5,1012.6207117073782,1,0.0976,0.057580000000000006,0.0903,0.05913000000000001
5,1012.6207117073782,1,0.097,0.056900000000000006,0.0904,0.05894
5,1012.6207117073782,1,0.0971,0.05763,0.0901,0.05901000000000001
5,1012.6207117073782,1,0.0966,0.05678,0.0905,0.05935000000000001
5,1012.2845187691003,1,0.09570000000000001,0.059109999999999996,0.09179999999999999,0.05938
5,1012.2731533789487,1,0.0932,0.05426,0.092,0.059300000000000005
5,1012.2731533789487,1,0.0929,0.05307,0.095,0.05910000000000001
5,1012.2731533789487,1,0.094,0.0537,0.0948,0.059280000000000006
5,1012.2731533789487,1,0.0936,0.054680000000000006,0.0935,0.05875
5,1012.2731533789487,1,0.0939,0.054169999999999996,0.0927,0.05877
6,1125.6886904300313,6,0.0563,0.017689999999999997,0.1,0.0694
6,1124.522853566078,6,0.056,0.0173,0.0985,0.07175000000000001
6,1122.8788487404413,6,0.0568,0.01794,0.1,0.0774
6,1122.761122620415,6,0.0574,0.01822,0.0986,0.06586
6,1118.1052283194297,6,0.0562,0.01746,0.098,0.07150000000000001
6,1117.4907184125414,6,0.055900000000000005,0.01727,0.0977,0.07177
6,1117.1331355158811,6,0.054900000000000004,0.017470000000000003,0.0986,0.06856000000000001
6,1117.0300980697953,6,0.0566,0.01808,0.09,0.07869999999999999
6,1116.8196435605882,6,0.0564,0.017719999999999996,0.0967,0.07897
6,1116.7026447306077,6,0.0542,0.01696,0.0999,0.06539
6,1116.3597792045455,6,0.055900000000000005,0.01767,0.0898,0.07768
6,1116.3324088120842,6,0.054900000000000004,0.017070000000000002,0.0968,0.07708000000000001
6,1115.9217853964608,6,0.055900000000000005,0.01737,0.0997,0.07227
6,1115.4797171731282,6,0.055099999999999996,0.017329999999999998,0.0972,0.07832
6,1114.9815362309216,6,0.056999999999999995,0.017799999999999996,0.0969,0.07769000000000001
6,1114.0643645348023,6,0.0572,0.01816,0.0986,0.06906000000000001
6,1113.7981260713111,6,0.0542,0.01746,0.0978,0.07738
6,1111.236268134949,6,0.0552,0.017259999999999998,0.0974,0.07694000000000001
6,1110.972375957005,6,0.0553,0.01759,0.0905,0.07735
6,1110.6928937049156,6,0.0561,0.01773,0.0954,0.06874
7,1000.0,3,0.1018,0.04004,0.0956,0.06546
7,1000.0,1,0.1021,0.07403,0.015200000000000002,0.012020000000000001
7,1000.0,1,0.0555,0.022649999999999997,0.0973,0.07453
7,1000.0,2,0.08180000000000001,0.038740000000000004,0.0374,0.019440000000000002
7,1000.0,4,0.07400000000000001,0.04240000000000001,0.0225,0.00745
7,1000.0,5,0.1011,0.03312999999999999,0.0279,0.01429
7,1000.0,4,0.1439,0.12657000000000002,0.025300000000000003,0.003830000000000001
7,1000.0,5,0.1121,0.06323000000000001,0.0374,0.00664
7,1000.0,1,0.1392,0.06336,0.0546,0.006960000000000001
7,1000.0,4,0.0956,0.03928,0.038,0.019600000000000003
7,1000.0,2,0.11950000000000001,0.08565,0.0836,0.053360000000000005
7,1000.0,2,0.1221,0.08463,0.0728,0.03418
7,1000.0,3,0.0638,0.04844,0.0616,0.034460000000000005
